common_norm	common_display	scientific
coludo chico	Coludo chico	Emberizoides ypiranganus
coludo colicuna	Coludo colicuña	Emberizoides herbicola
coludo del duida	Coludo del Duida	Emberizoides duidae
coludo gorjipalido	Coludo gorjipálido	Embernagra longicauda
coludo grande	Coludo grande	Emberizoides herbicola
coludo verdon	Coludo verdón	Embernagra platensis
colugo	Colugo	Cynocephalidae|Cynocephalus
columbina colilarga	Columbina colilarga	Uropelia campestris
columbina colorada	Columbina colorada	Columbina talpacoti
columbina comun	Columbina común	Columbina passerina
columbina ecuatoriana	Columbina ecuatoriana	Columbina buckleyi
columbina menuda	Columbina menuda	Columbina minuta
columbina ojiazul	Columbina ojiazul	Columbina cyanopis
columbina picui	Columbina picuí	Columbina picui
columbina quiquagua	Columbina quiquagua	Columbina cruziana
comadreja	Comadreja	Mustela nivalis
comadreja africana o de vientre rayado	Comadreja africana o de vientre rayado	Mustela africana
comadreja amazonica	Comadreja Amazónica	Mustela africana
comadreja cola larga	Comadreja cola larga	Mustela frenata
comadreja colombiana	Comadreja colombiana	Mustela felipei
comadreja colorada	Comadreja Colorada	Lutreolina crassicaudata
comadreja coluda	Comadreja Coluda	Paragaleus tengi
comadreja comun	Comadreja Común	Didelphis albiventris
comadreja de cuatro ojos	Comadreja De Cuatro Ojos	Philander opossum
comadreja de espalda rayada	Comadreja de espalda rayada	Mustela strigidorsa
comadreja enana	Comadreja Enana	Thylamys pusillus
comadreja ganchuda	Comadreja Ganchuda	Chaenogaleus macrostoma
comadreja grande	Comadreja Grande	Didelphis marsupialis
comadreja orejas negras	Comadreja Orejas Negras	Didelphis aurita
comadreja overa	Comadreja Overa	Didelphis albiventris
comadrejita comun	Comadrejita Común	Thylamys pallidior
comadrejita de vientre rojo	Comadrejita De Vientre Rojo	Cryptonanus ignitus
comadrejita enana	Comadrejita Enana	Dromiciops gliroides
comadrejita patagonica	Comadrejita Patagónica	Lestodelphys halli
comadrejita trompuda	Comadrejita Trompuda	Rhyncholestes raphanurus
comadrejita yunguena	Comadrejita Yungueña	Thylamys venustus
comal	Comal	Achirus scutum
combatiente	Combatiente	Calidris pugnax|Philomachus pugnax
comedreja andina	Comedreja Andina	Mustela frenata
comegramo	Comegramo	Orthopristis ruber
comelon	Comelón	Leporinus muyscorum
comesebo negro	Comesebo negro	Diglossa brunneiventris
comesebo puneno	Comesebo puneño	Phrygilus dorsalis
comesebo puneno cometocino de dorso castano yal dorsirrojo	Comesebo puneño; cometocino de dorso castaño; yal dorsirrojo	Phrygilus dorsalis
comeviveres	Comevíveres	Euthynnus alletteratus
comico	Comico	Priacanthus arenatus
comino	Comino	Cuminum cyminum
companero de mero	Companero De Mero	Alphestes multiguttatus
companon	compañón	Anacamptis morio
companon de perro	compañón de perro	Anacamptis morio
conchitas	conchitas	Clitoria ternatea
conchua	Conchúa	Harengula jaguana
concon	concón	Strix rufipes
condor andino	Cóndor andino	Vultur gryphus
condor californiano	Cóndor californiano	Gymnogyps californianus
condor de california	Cóndor de California	Gymnogyps californianus
conejo castellano	Conejo Castellano	Sylvilagus floridanus
conejo de barinas	Conejo De Barinas	Sylvilagus varynaensis
conejo de centroamerica	Conejo de Centroamérica	Sylvilagus gabbi
conejo de diaz	Conejo De Díaz	Romerolagus diazi
conejo de la isla san jose	Conejo de la Isla San José	Sylvilagus mansuetus
conejo de las isles marias	Conejo De Las Isles Marías	Sylvilagus graysoni
conejo de lo alto	Conejo de lo Alto	Alepisaurus ferox
conejo de los volcanes	Conejo De Los Volcanes	Romerolagus diazi
conejo de monte	Conejo De Monte	Sylvilagus varynaensis
conejo de montes	Conejo De Montes	Sylvilagus cunicularius
conejo de omiltemi	Conejo De Omiltemi	Sylvilagus insonus
conejo de sumatra	Conejo De Sumatra	Nesolagus netscheri
conejo del desierto	Conejo Del Desierto	Sylvilagus audubonii
conejo del palo	Conejo Del Palo	Dolichotis salinicola
conejo fluvial	Conejo fluvial	Bunolagus
conejo matorralero	Conejo matorralero	Sylvilagus bachmani
conejo montes	Conejo Montés	Sylvilagus cunicularius
conejo pigmeo	Conejo pigmeo	Brachylagus
conejo serrano	Conejo Serrano	Sylvilagus cunicularius
conejo tropical	Conejo Tropical	Sylvilagus brasiliensis
conejo zacatuche	Conejo Zacatuche	Romerolagus diazi
congo baboso	Congo baboso	Cathorops taylori
congo barrigon	Congo barrigón	Cathorops dasycephalus
congre	Congre	Conger triporiceps|Gymnothorax funebris
congre safio	Congre Safio	Conger conger
congrillo amarillo	Congrillo Amarillo	Rhynchoconger flavus
congrillo de charco	Congrillo de Charco	Ariosoma balearicum
congrillo playon	Congrillo Playón	Paraconger caudilimbatus
congrina filamentosa	Congrina Filamentosa	Rhynchoconger gracilior
congrio	Congrio	Ariosoma balearicum|Conger|Conger conger|Conger triporiceps|Gobioides broussonnetii|Gymnothorax funebris|Lepophidium pardale|Ophidion fulvum|Ophidion galeoides|Otophidium indefatigabile|Paraconger caudilimbatus
congrio algino	Congrio Algino	Ariosoma balearicum
congrio amarillo	Congrio Amarillo	Gymnothorax vicinus|Rhynchoconger flavus
congrio americano	Congrio Americano	Conger oceanicus
congrio anteojos	Congrio anteojos	Paraconger californiensis
congrio balear	Congrio Balear	Ariosoma balearicum
congrio cola de bordes	Congrio Cola de Bordes	Paraconger caudilimbatus
congrio cola tiesa	Congrio cola tiesa	Gnathophis cinctus
congrio colilargo	Congrio Colilargo	Hoplunnis tenuis
congrio commun	Congrio Commun	Conger conger
congrio comun	Congrio Común	Conger conger|Conger esculentus
congrio de anillos blancos	Congrio de Anillos Blancos	Heteroconger canabus
congrio de california	Congrio de California	Paraconger californiensis
congrio de cola corta	Congrio de cola corta	Paraconger similis
congrio de corta nareza	Congrio de corta nareza	Chiloconger dentatus
congrio de cortes	Congrio de Cortés	Heteroconger digueti
congrio de guinea	Congrio de Guinea	Paraconger notialis
congrio de jardin	Congrio de Jardín	Heteroconger longissimus
congrio de labio grueso	Congrio de labio grueso	Chiloconger dentatus
congrio del pacifico	Congrio del Pacífico	Conger myriaster
congrio del talud	Congrio del talud	Ariosoma prorigerum
congrio denton	Congrio Denton	Conger triporiceps
congrio dentudo	Congrio Dentudo	Bathyuroconger vicinus|Conger triporiceps
congrio descolorido	Congrio descolorido	Heteroconger digueti
congrio espantoso	Congrio espantoso	Cynoponticus coniceps
congrio estirado	Congrio Estirado	Ariosoma anale
congrio gracil	Congrio Grácil	Rhynchoconger gracilior
congrio gris	Congrio Gris	Conger esculentus
congrio narigon	Congrio Narigón	Ariosoma gilberti
congrio oscuro	Congrio oscuro	Cynoponticus coniceps
congrio pecoso	Congrio pecoso	Heteroconger pellegrini
congrio pintado	Congrio Pintado	Echelus myrus
congrio plumilla	Congrio Plumilla	Uroconger syringinus
congrio punteado	Congrio punteado	Gorgasia punctata
congrio rosado	Congrio rosado	Brotula clarkae
congrio trompudo	Congrio trompudo	Rhynchoconger nitens
congrio vecino	Congrio vecino	Bathycongrus vicinalis
congrioperla leoparda	Congrioperla leoparda	Lepophidium pardale
congrioperla pintada	Congrioperla pintada	Lepophidium negropinna
congriperla amarilla	Congriperla Amarilla	Lepophidium profundorum
congriperla arcoiris	Congriperla arcoiris	Ophidion iris
congriperla auricular	Congriperla Auricular	Ophidion fulvum
congriperla bigotona	Congriperla Bigotona	Lepophidium pheromystax
congriperla cabezona	Congriperla cabezona	Otophidium indefatigabile
congriperla canastera	Congriperla canastera	Ophidion scrippsae
congriperla clarin	Congriperla Clarín	Lepophidium brevibarbe
congriperla cornuda	Congriperla cornuda	Lepophidium prorates
congriperla crestada	Congriperla crestada	Ophidion josephi
congriperla de aleta manchada	Congriperla de aleta manchada	Lepophidium stigmatistium
congriperla de bajos	Congriperla de bajos	Ophidion holbrookii
congriperla estriada	Congriperla estriada	Ophidion galeoides
congriperla fantasma	Congriperla fantasma	Otophidium chickcharney
congriperla gruesa	Congriperla Gruesa	Spectrunculus grandis
congriperla jaspeada	Congriperla Jaspeada	Lepophidium jeannae
congriperla labio leporino	Congriperla labio leporino	Ophidion lagochila
congriperla lunareja	Congriperla lunareja	Otophidium omostigma
congriperla mexicana	Congriperla mexicana	Lepophidium stigmatistium
congriperla mimetica	Congriperla mimética	Ophidion imitator
congriperla moteada	Congriperla moteada	Chilara taylori
congriperla nacarada	Congriperla Nacarada	Ophidion nocomis
congriperla narizon	Congriperla narizón	Ophidion antipholus
congriperla parda	Congriperla Parda	Parophidion schmidti
congriperla plateada	Congriperla plateada	Lepophidium microlepis
congriperla rayada	Congriperla Rayada	Lepophidium staurophor
conguito blanco	Conguito blanco	Centropomus robalito
conifera	Conífera	Pinophyta|Pinopsida
conirrostro bicolor	Conirrostro bicolor	Conirostrum bicolor
conirrostro cejiblanco	Conirrostro cejiblanco	Conirostrum ferrugineiventre
conirrostro cinereo	Conirrostro cinéreo	Conirostrum cinereum
conirrostro coronado	Conirrostro coronado	Conirostrum albifrons
conirrostro culirrufo	Conirrostro culirrufo	Conirostrum speciosum
conirrostro de tamarugal	Conirrostro de tamarugal	Conirostrum tamarugense
conirrostro dorsiazul	Conirrostro dorsiazul	Conirostrum sitticolor
conirrostro gigante	Conirrostro gigante	Conirostrum binghami|Oreomanes fraseri
conirrostro orejiblanco	Conirrostro orejiblanco	Conirostrum leucogenys
conirrostro pechigris	Conirrostro pechigrís	Conirostrum margaritae
conirrostro rufo	Conirrostro rufo	Conirostrum rufum
conodontoforos	conodontóforos	Conodonta
conodontos	conodontos	Conodonta
conquistador gorgiamarillo	Conquistador Gorgiamarillo	Nicator vireo
conquistador gorjiamarillo	Conquistador gorjiamarillo	Nicator vireo
conquistador occidental	Conquistador occidental	Nicator chloris
conquistador oriental	Conquistador oriental	Nicator gularis
conservilla majorera	Conservilla Majorera	Salvia herbanica
consolda	consolda	Prunella vulgaris
consolida	consólida	Symphytum officinale
consolida mayor	consólida mayor	Symphytum officinale
consuelda	consuelda	Prunella vulgaris|Symphytum officinale
consuelda aspera	consuelda áspera	Symphytum officinale
consuelda blanca	consuelda blanca	Symphytum officinale
consuelda mayor	consuelda mayor	Prunella grandiflora|Symphytum officinale
consuelda media	consuelda media	Ajuga reptans
consuelda menor	consuelda menor	Prunella vulgaris
consuelda silvestre	consuelda silvestre	Prunella vulgaris
conticillo negro o de manos amarillos	Conticillo Negro O De Manos Amarillos	Callicebus lucifer
convalaria	convalaria	Convallaria majalis
copachi	Copachi	Magnolia chocoensis|Magnolia hernandezii|Magnolia jardinensis
copal	Copal	Protium panamense
copao	Copao	Eulychnia acida|Eulychnia breviflora|Eulychnia iquiquensis
copao de iquique	Copao de Iquique	Eulychnia iquiquensis
copao de philippi	Copao de Philippi	Eulychnia castanea
copei	Copei	Clusia dukei
copeton abejerillo	Copetón abejerillo	Deltarhynchus flammulatus
copeton apical	Copetón apical	Myiarchus apicalis
copeton bobito	Copetón bobito	Myiarchus stolidus
copeton capirotado	Copetón capirotado	Myiarchus tuberculifer
copeton cenizo	Copetón cenizo	Myiarchus cinerascens
copeton colirrufo	Copetón colirrufo	Myiarchus validus
copeton crestioscuro	copetón crestioscuro	Myiarchus tuberculifer
copeton de de la sagra	Copetón de De La Sagra	Myiarchus sagrae
copeton de galapagos	Copetón de Galápagos	Myiarchus magnirostris
copeton de granada	Copetón de Granada	Myiarchus nugator
copeton de nutting	Copetón de Nutting	Myiarchus nuttingi
copeton de ober	Copetón de Ober	Myiarchus oberi
copeton de swainson	Copetón de Swainson	Myiarchus swainsoni
copeton feroz	Copetón feroz	Myiarchus ferox
copeton jamaicano	Copetón jamaicano	Myiarchus barbirostris
copeton montanero	Copetón montañero	Myiarchus cephalotes
copeton panameno	Copetón panameño	Myiarchus panamensis
copeton piquiplano copeton abejerillo	Copetón piquiplano; copetón abejerillo	Deltarhynchus flammulatus
copeton puertorriqueno	Copetón puertorriqueño	Myiarchus antillarum
copeton rufo	Copetón rufo	Myiarchus semirufus
copeton tiranillo	Copetón tiranillo	Myiarchus tyrannulus
copeton tiznado	Copetón tiznado	Myiarchus phaeocephalus
copeton triste	Copetón Triste	Myiarchus barbirostris
copeton venezolano	Copetón venezolano	Myiarchus venezuelensis
copeton viajero	Copetón viajero	Myiarchus crinitus
copeton yucateco	Copetón yucateco	Myiarchus yucatanensis
copetona	Copetona	Bodianus diplotaenia
copiapoa de andriana	Copiapoa de Andriana	Copiapoa longistaminea
copiapoa de bridges	Copiapoa de Bridges	Copiapoa marginata
copiapoa de carrizal bajo	Copiapoa de Carrizal Bajo	Copiapoa dealbata
copiapoa de philippi	Copiapoa de Philippi	Copiapoa cinerea
copo de nieve	copo de nieve	Viburnum opulus
copo hediondo	Copo Hediondo	Couratari scottmorii
copos de nieve	copos de nieve	Viburnum lantana
coprosma	Coprosma	Eurynome
coqueta adorable	Coqueta adorable	Lophornis adorabilis
coqueta adornada	Coqueta adornada	Lophornis ornatus
coqueta coronada	Coqueta coronada	Lophornis stictolophus
coqueta cresticorta	Coqueta Cresticorta	Lophornis brachylophus
coqueta crestinegra	Coqueta crestinegra	Lophornis helenae
coqueta crestirrufa	Coqueta crestirrufa	Lophornis delattrei
coqueta de guerrero	Coqueta de Guerrero	Lophornis brachylophus
coqueta lentejuelada	Coqueta Lentejuelada	Lophornis stictolophus
coqueta magnifica	Coqueta magnífica	Lophornis magnificus
coqueta moteada	Coqueta moteada	Lophornis gouldii
coqueta pavonina	Coqueta pavonina	Lophornis pavoninus
coqueta verde	Coqueta verde	Lophornis chalybeus
coqueta verde nortena	Coqueta verde norteña	Lophornis verreauxii
coqueta verde surena	Coqueta verde sureña	Lophornis chalybeus
coqui antillano	Coqui Antillano	Eleutherodactylus johnstonei
coqui caoba	Coquí Caoba	Eleutherodactylus richmondi
coqui churi	Coqui Churi	Eleutherodactylus antillensis
coqui comun	Coquí Común	Eleutherodactylus coqui
coqui de eneida	Coqui De Eneida	Eleutherodactylus eneidae
coqui de la mona	Coqui De La Mona	Eleutherodactylus monensis
coqui de la montana	Coqui De La Montaña	Eleutherodactylus portoricensis
coqui de las antillas	Coqui de las Antillas	Eleutherodactylus antillensis
coqui de las hierbas	Coqui De Las Hierbas	Eleutherodactylus brittoni
coqui de mona	Coqui De Mona	Eleutherodactylus monensis
coqui de montana	Coqui De Montaña	Eleutherodactylus portoricensis
coqui de richmond	Coquí De Richmond	Eleutherodactylus richmondi
coqui dorado	Coqui Dorado	Eleutherodactylus jasperi
coqui duende	Coqui Duende	Eleutherodactylus unicolor
coqui grillo	Coqui Grillo	Eleutherodactylus gryllus
coqui guajon	Coqui Guajon	Eleutherodactylus cooki
coqui martillito	Coqui Martillito	Eleutherodactylus locustus
coqui melodioso	Coquí Melodioso	Eleutherodactylus wightmanae
coqui palmeado	Coqui Palmeado	Eleutherodactylus karlschmidti
coqui pitito	Coqui Pitito	Eleutherodactylus cochranae
coquillo	Coquillo	Astrocaryum alatum
coquimbano	Coquimbano	Copiapoa coquimbana
coquito	Coquito	Astrocaryum alatum
coral caucana	Coral Caucana	Micrurus multiscutatus
coral coliflor	Coral Coliflor	Pocillopora damicornis
coral confundida	Coral Confundida	Micrurus langsdorffi
coral de franjas iguales	Coral De Franjas Iguales	Micrurus isozonus
coral de la isle de roatan	Coral de la Isle de Roatán	Micrurus ruatanus
coral diana	Coral Diana	Micrurus diana
coral falsa	Coral (falsa)	Atractus major|Pliocercus euryzonus
coral nortefia trinitaria	Coral Nortefia Trinitaria	Micrurus circinalis
coral raspa	Coral Raspa	Pocillopora verrucosa
coral roatanense	Coral Roatanense	Micrurus ruatanus
corallina	Corallina	Antigonon leptopus
corallita	Corallita	Antigonon|Antigonon leptopus
coranzoncillo de anden verde	Coranzoncillo de Andén Verde	Lotus callis-viridis
corato	Corato	Agave caymanensis
corazon de ciervo	corazón de ciervo	Hypericum perforatum
corazon de paloma	Corazón de Paloma	Volkameria aculeata
corazon sangrante	Corazón sangrante	Dicentra
corazoncillo	corazoncillo	Hypericum perforatum|Lotus callis-viridis|Lotus pyranthus
corbatita amarillo	Corbatita amarillo	Sporophila nigricollis
corbatita blanco	Corbatita blanco	Sporophila leucoptera
corbatita comun	Corbatita común	Sporophila caerulescens
corbatita domino	Corbatita dominó	Sporophila collaris
corbatita olivaceo	Corbatita oliváceo	Sporophila frontalis
corbatita overo	Corbatita overo	Sporophila lineola
corbatita picudo	Corbatita picudo	Sporophila falcirostris
corbina	Corbina	Argyrosomus regius|Micropogonias undulatus|Pogonias cromis
corbina cabezon	Corbina Cabezón	Larimus breviceps
corcoba de plana	Corcoba de Plana	Alectis ciliaris
corcobado de pluma	Corcobado de Pluma	Alectis ciliaris
corcovado	Corcovado	Anisotremus scapularis|Centropomus armatus|Orthopristis chalceus
corcovado carinegro	Corcovado carinegro	Odontophorus atrifrons
corcovado castano	Corcovado castaño	Odontophorus hyperythrus
corcovado comun	Corcovado común	Odontophorus gujanensis
corcovado del tacarcuna	Corcovado del Tacarcuna	Odontophorus dialeucos
corcovado dorsioscuro	Corcovado dorsioscuro	Odontophorus melanonotus
corcovado enmascarado	Corcovado enmascarado	Odontophorus balliviani
corcovado estrellado	Corcovado estrellado	Odontophorus stellatus
corcovado frentirrojo	Corcovado frentirrojo	Odontophorus erythrops
corcovado gorjiblanco	Corcovado gorjiblanco	Odontophorus strophium
corcovado goteado	Corcovado goteado	Odontophorus guttatus
corcovado orejinegro	Corcovado orejinegro	Odontophorus melanotis
corcovado pechinegro	Corcovado pechinegro	Odontophorus leucolaemus
corcovado pechirrufo	Corcovado pechirrufo	Odontophorus speciosus
corcovado uru	Corcovado urú	Odontophorus capueira
corcovado venezolano	Corcovado venezolano	Odontophorus columbianus
corcovanos	corcovanos	Viburnum opulus
cordados	Cordados	Chordata
cordobancillo peludo	Cordobancillo Peludo	Rondeletia pilosa
cordon azul de mejillas rojas	Cordón Azul de Mejillas Rojas	Uraeginthus bengalus
cordoncillo	cordoncillo	Piper amalago
cordunita	Cordunita	Lophotus lacepede
corechi	Corechi	Tolypeutes matacus
coridoras	coridoras	Corydoras acutus|Corydoras amphibelus|Corydoras atropersonatus|Corydoras copei|Corydoras coriatae|Corydoras fowleri|Corydoras lamberti|Corydoras leucomelas|Corydoras loretoensis|Corydoras napoensis|Corydoras ortegai|Corydoras panda|Corydoras pastazensis|Corydoras stenocephalus|Corydoras sychri|Corydoras virginiae|Corydoras weitzmani|Corydoras zygatus
corion	corión	Hypericum perforatum
cormoran africano	Cormorán africano	Microcarbo africanus
cormoran antartico	Cormorán antártico	Leucocarbo bransfieldensis|Phalacrocorax atriceps
cormoran bigua	Cormorán biguá	Phalacrocorax brasilianus
cormoran carinegro	Cormorán carinegro	Phalacrocorax fuscescens
cormoran carirrojo	Cormorán carirrojo	Phalacrocorax urile
cormoran carunculado	Cormorán carunculado	Leucocarbo carunculatus
cormoran chuita	Cormorán chuita	Phalacrocorax gaimardi
cormoran coronado	Cormorán coronado	Microcarbo coronatus
cormoran cuelliblanco	Cormorán Cuelliblanco	Phalacrocorax lucidus
cormoran cuello negro	Cormorán cuello negro	Phalacrocorax magellanicus
cormoran de anteojos	Cormorán de anteojos	Urile perspicillatus
cormoran de bajio	Cormorán de bajío	Phalacrocorax neglectus
cormoran de el cabo	Cormorán de El Cabo	Phalacrocorax capensis
cormoran de georgia	Cormorán de Georgia	Leucocarbo georgianus|Phalacrocorax atriceps georgianus
cormoran de la campbell	Cormorán de la Campbell	Leucocarbo campbelli
cormoran de la heard	Cormorán de la Heard	Leucocarbo nivalis
cormoran de la macquarie	Cormorán de la Macquarie	Leucocarbo purpurascens
cormoran de la pitt	Cormorán de la Pitt	Phalacrocorax featherstoni
cormoran de la stewart	Cormorán de la Stewart	Leucocarbo chalconotus
cormoran de las auckland	Cormorán de las Auckland	Leucocarbo colensoi
cormoran de las bounty	Cormorán de las Bounty	Leucocarbo ranfurlyi
cormoran de las chatham	Cormorán de las Chatham	Leucocarbo onslowi|Phalacrocorax onslowi
cormoran de las crozet	Cormorán de las Crozet	Leucocarbo melanogenis
cormoran de las kerguelen	Cormorán de las Kerguelen	Leucocarbo verrucosus
cormoran de socotora	Cormorán de Socotora	Phalacrocorax nigrogularis
cormoran gris	Cormorán gris	Phalacrocorax gaimardi
cormoran guanay	Cormorán guanay	Leucocarbo bougainvilliorum
cormoran imperial	Cormorán imperial	Leucocarbo atriceps|Phalacrocorax atriceps
cormoran indio	Cormorán indio	Phalacrocorax fuscicollis
cormoran japones	Cormorán japonés	Phalacrocorax capillatus
cormoran magallanico	Cormorán magallánico	Phalacrocorax magellanicus
cormoran mancon	Cormorán mancón	Phalacrocorax harrisi
cormoran monudo	Cormorán moñudo	Phalacrocorax aristotelis
cormoran moteado	Cormorán moteado	Phalacrocorax punctatus
cormoran orejudo	Cormorán orejudo	Phalacrocorax auritus
cormoran pigmeo	Cormorán pigmeo	Microcarbo pygmaeus
cormoran pio	Cormorán pío	Phalacrocorax varius
cormoran piquicorto	Cormorán piquicorto	Microcarbo melanoleucos
cormoran totinegro	Cormorán totinegro	Phalacrocorax sulcirostris
cornahuelo	cornahuelo	Viburnum lantana
cornal	Cornal	Odontesthes incisa
cornalito	Cornalito	Odontesthes incisa
corneja negra	Corneja negra	Corvus corone
cornejo macho	cornejo macho	Cornus mas
corneta	Corneta	Fistularia tabacaria
corneta colorada	Corneta colorada	Fistularia petimba
corneta flautera	Corneta flautera	Fistularia corneta
corneta latigo	Corneta látigo	Fistularia tabacaria
cornetica amarilla	Cornetica Amarilla	Cosmocampus elucens
cornetica enana	Cornetica Enana	Bryx dunckeri
cornihuelo	cornihuelo	Viburnum lantana
cornizuelo	Cornizuelo	Acacia allenii
corno	Corno	Cornus
corno europeo	corno europeo	Cornus mas
corno siberiano	Corno Siberiano	Cornus alba
cornuda	Cornuda	Sphyrna mokarran
cornuda coronada	Cornuda Coronada	Sphyrna corona
cornuda cuchara	Cornuda cuchara	Sphyrna media
cornuda ojichica	Cornuda Ojichica	Sphyrna tudes
cornudita	Cornudita	Eumecichthys fiski
corocha	corocha	Ajuga reptans
corocito	corocito	Zamia melanorrhachis
corocoro blanco	Corocoro blanco	Eudocimus albus
corocoro brin	Corocoro brin	Orthopristis cantharinus
corocoro bronceado	Corocoro Bronceado	Orthopristis reddingi
corocoro carruca	Corocoro carruca	Pomadasys branickii
corocoro coche	Corocoro coche	Pomadasys macracanthus
corocoro congo	Corocoro Congo	Orthopristis ruber
corocoro corcovado	Corocoro corcovado	Microlepidotus brevipinnis
corocoro de gran espina	Corocoro de gran espina	Pomadasys empherus
corocoro mapache	Corocoro Mapache	Pomadasys panamensis
corocoro margariteno	Corocoro Margariteño	Haemulon plumierii
corocoro montura	Corocoro Montura	Pomadasys maculatus
corocoro rayado	Corocoro Rayado	Haemulon bonariense
corocoro rojo	Corocoro rojo	Eudocimus ruber
corocoro zapata	Corocoro zapata	Orthopristis chalceus
corona de espinas	corona de espinas	Euphorbia milii
corona de fraile	corona de fraile	Taraxacum officinale
coronado	Coronado	Seriola dumerili|Seriola rivoliana
coronado de ley	Coronado de Ley	Seriola dumerili
coronafelpa	Coronafelpa	Metopothrix aurantiaca
coronaria	coronaria	Daphne cneorum
coroncoro	Coroncoro	Haemulon bonariense|Haemulon plumierii
coroncoro perro	Coroncoro perro	Squaliforma tenuicauda
coronil	Coronil	Ormosia panamensis
coronilla rosa	coronilla rosa	Securigera varia
coronillo	Coronillo	Schinopsis quebracho-colorado
coronta o panocha	Coronta o Panocha	Zea mays
coroto	Coroto	Squaliforma tenuicauda
correcaminos chico	Correcaminos chico	Geococcyx velox
corredor de pica	Corredor de Pica	Microlophus theresioides
corredor del godavari	Corredor del Godavari	Rhinoptilus bitorquatus
corredor escamoso chico	Corredor escamoso chico	Rhinoptilus africanus
corredor escamoso grande	Corredor escamoso grande	Rhinoptilus cinctus
corredor etiopico	Corredor etiópico	Cursorius temminckii
corredor gorguinaranja	Corredor Gorguinaranja	Aspidoscelis hyperythra
corredor indio	Corredor indio	Cursorius coromandelicus
corredor patirrojo	Corredor patirrojo	Rhinoptilus chalcopterus
corredor rufo	Corredor rufo	Cursorius rufus
correguela de famara	Corregüela de Famara	Convolvulus lopezsocasii
correguelon de famara	Corregüelón de Famara	Convolvulus lopezsocasii
correlimos batitu	Correlimos batitú	Bartramia longicauda
correlimos canelo	Correlimos canelo	Calidris subruficollis|Tryngites subruficollis
correlimos comun	Correlimos común	Calidris alpina
correlimos cuchareta	Correlimos cuchareta	Calidris pygmaea|Eurynorhynchus pygmeus
correlimos cuellirrojo	Correlimos cuellirrojo	Calidris ruficollis
correlimos culiblanco	Correlimos culiblanco	Calidris fuscicollis
correlimos de alaska	Correlimos de Alaska	Calidris mauri
correlimos de baird	Correlimos de Baird	Calidris bairdii
correlimos de rompientes	Correlimos de rompientes	Aphriza virgata|Calidris virgata
correlimos dedilargo	Correlimos dedilargo	Calidris subminuta
correlimos falcinelo	Correlimos falcinelo	Calidris falcinellus|Limicola falcinellus
correlimos menudillo	Correlimos menudillo	Calidris minutilla
correlimos menudo	Correlimos menudo	Calidris minuta
correlimos roquero	Correlimos roquero	Calidris ptilocnemis
correlimos semipalmeado	Correlimos semipalmeado	Calidris pusilla
correlimos tridactilo	Correlimos tridáctilo	Calidris alba
corretroncos cejiblanco	Corretroncos cejiblanco	Climacteris affinis
corretroncos cejirrojo	Corretroncos cejirrojo	Climacteris erythrops
corretroncos colinegro	Corretroncos colinegro	Climacteris melanurus
corretroncos gorjiblanco	Corretroncos gorjiblanco	Cormobates leucophaea
corretroncos papu	Corretroncos papú	Cormobates placens
corretroncos pardo	Corretroncos pardo	Climacteris picumnus
corretroncos rufo	Corretroncos rufo	Climacteris rufus
corrigiola de playas	Corrigiola de playas	Corrigiola litoralis
corrigiole de passacamins	Corrigiole de passacamins	Corrigiola litoralis
corroncho	corroncho	Ancistrus caucanus|Chaetostoma leucomelas|Cordylancistrus daguae|Panaque cochliodon
corroncho de medellin	Corroncho de Medellín	Chaetostoma aburrensis
corrotucho	Corrotucho	Colomesus psittacus|Sphoeroides testudineus
corrotucho comun	Corrotucho Comun	Sphoeroides testudineus
corrotucho de piedra	Corrotucho De Piedra	Canthigaster rostrata
corrotucho futre	Corrotucho Futre	Sphoeroides dorsalis
corrotucho listado	Corrotucho Listado	Colomesus psittacus
corrotucho mataperros	Corrotucho Mataperros	Sphoeroides spengleri
corrotucho verde	Corrotucho Verde	Sphoeroides greeleyi|Sphoeroides testudineus
cortarramas	Cortarramas	Phytotoma rutila
cortarramas argentino	Cortarramas argentino	Phytotoma rutila
cortarramas chileno	Cortarramas chileno	Phytotoma rara
cortarramas peruano	Cortarramas peruano	Phytotoma raimondii
coruja	coruja	Stellaria media
corujo	corujo	Scophthalmus rhombus
coruncha	Coruncha	Cephalopholis fulva
corvallo	corvallo	Sciaena umbra|Umbrina cirrosa
corvalo	Córvalo	Paralonchurus brasiliensis
corvanilla	Corvanilla	Orestias parinacotensis
corvina	Corvina	Argyrosomus regius|Cynoscion analis|Cynoscion nebulosus|Cynoscion squamipinnis|Micropogonias furnieri|Micropogonias undulatus|Odontoscion dentex|Ophioscion simulus|Sciaena umbra|Sciaena wieneri|Sciaenops ocellatus
corvina aguada	Corvina aguada	Brotula ordwayi|Cynoscion squamipinnis
corvina aguada o de roca	Corvina aguada o de roca	Brotula clarkae
corvina alba	Corvina alba	Cynoscion albus
corvina aleta corta	Corvina aleta corta	Cynoscion parvipinnis
corvina arenera	Corvina Arenera	Cynoscion arenarius
corvina azul	Corvina azul	Cynoscion parvipinnis
corvina berrugata	Corvina berrugata	Micropogonias altipinnis
corvina bizca	Corvina bizca	Ophioscion strabo
corvina blanca	Corvina Blanca	Micropogonias furnieri
corvina bobo	Corvina Bobo	Pseudotolithus elongatus
corvina bocadulce	Corvina bocadulce	Micropogonias ectenes
